ceref,firm,domain,pattern,evidence
AAG715,Pictet Asset Management (Hong Kong) Limited,pictet.com,{f}{last},"The most common Pictet Group email format is [first_initial][last] (ex. jdoe@pictet.com), which is being used by 88.8% of Pictet Group work email addresses."
AAH297,Hang Seng Bank Limited,hangseng.com,{first}{last},"The most common Hang Seng Bank email format is [first][last] (ex. janedoe@hangseng.com), which is being used by 66.9% of Hang Seng Bank work email addresses ..."
AAI650,"China Merchants Securities (HK) Co., Limited",cmschina.com.hk,{first}{last},"The most common China Merchants Securities (HK) Co., Limited email format is [first][last] (ex. janedoe@cmschina.com.hk), which is being used by 100.0% of ..."
AAI852,Rothschild & Co Hong Kong Limited,rothschildandco.com,{first}.{last},"Email Format, Example, Percentage. [first].[last], jane.doe@rothschild.com ... de.rothschildandco.com; ch.rothschildandco.com. 5. +420 602 477XXXX; +36 30 637 ..."
AAJ177,Baring Asset Management (Asia) Limited,barings.com,{first}.{last},"The most common Barings email format is [first].[last] (ex. jane.doe@barings.com), which is being used by 77.2% of Barings work email addresses."
AAJ650,RBC Global Asset Management (Asia) Limited,rbcgam.com,{first}.{last},"The most accurate and popular RBC Global Asset Management's email format is First.Last@rbc.com (ex. ... First.Last@rbcgam.com, John.Doe@rbcgam.com. 71%. FirstLast ..."
AAJ984,Deutsche Securities Asia Limited,db.com,{first}.{last},"The most common Deutsche Bank email format is [first].[last] (ex. jane.doe@db.com), which is being used by 95.8% of Deutsche Bank work email addresses."
AAK249,CITIC Securities (Hong Kong) Limited,clsa.com,{first}.{last},"The most common CLSA email format is [first].[last] (ex. jane.doe@clsa.com), which is being used by 70.9% of CLSA work email addresses."
AAK832,Bank of Communications Trustee Limited,bocomtrust.com.hk,{first}.{last},"The most common 交通銀行信託有限公司email format is [first].[last] (ex. jane.doe@bocomtrust.com.hk), which is being used by 100.0% of 交通銀行信託有限 ..."
AAK840,United Overseas Bank Limited,unitedoverseasbank.com,{first}.{last},"The most common United Overseas Bank email format is [first].[last] (ex. jane.doe@uob.com), which is being used by 40.0% of United Overseas Bank work email ..."
AAL996,"JPMorgan Chase Bank, National Association",am.jpmorgan.com,{first}.{last},The most accurate and popular J.P. Morgan Asset Management's email format is First.Last@jpmorgan.com (ex. ... am.jpmorgan.com/ https://am.jpmorgan.com/us/en/asset ...
AAM944,Standard Chartered Trustee (Hong Kong) Limited,hktrustees.com,{first}{last},"The most common Hong Kong Trustees' Association (HKTA) email format is [first][last] (ex. janedoe@hktrustees.com), which is being used by 100.0% of Hong ..."
AAN305,"MUFG Bank, Ltd.",bk.mufg.jp,{f}{last},"Possible email structures. first. John@bk.mufg.jp. 33.6%. first [1 letter] + last. JSmith@bk.mufg.jp. 26.9%. Get validated email addresses of your leads, for ..."
AAV882,UBS Securities Asia Limited,ubs.com,{first}.{last},"The most common UBS email format is [first].[last] (ex. jane.doe@ubs.com), which is being used by 77.9% of UBS work email addresses. Other common UBS email ..."
AAW203,Hamon Asian Advisors Limited,hamon.com.hk,{first}{last},"The most common Hamon Investment Group Pte Limited email format is [first][last] (ex. janedoe@hamon.com.hk), which is being used by 100.0% of Hamon Investment ..."
AAX743,Harris Fraser (International) Limited,harris-fraser.com,{first}.{last},"The most common Harris Fraser Group email format is [first].[last] (ex. jane.doe@harris-fraser.com), which is being used by 80.0% of Harris Fraser Group work ..."
AAY077,ICBC Asset Management (Global) Company Limited,icbcamg.com,{first}.{last},"The most common ICBC Asset Management (Global) email format is [first].[last] (ex. jane.doe@icbcamg.com), which is being used by 40.0% of ICBC Asset ..."
ABM588,Asian Capital Partners (HK) Limited,asiancap.com,{first}_{last},"The most common Asian Capital Partners Group email format is [first]_[last] (ex. jane_doe@asiancap.com), which is being used by 62.4% of Asian Capital ..."
ABV570,Oriental Patron Securities Limited,oriental-patron.com.hk,{first}.{last},"The most common Oriental Patron email format is [first].[last] (ex. jane.doe@oriental-patron.com.hk), which is being used by 94.3% of Oriental Patron work ..."
ABY953,China Renaissance Broking Services (Hong Kong) Limited,chinarenaissance.com,{first}{last},"The most common China Renaissance 华兴资本email format is [first][last] (ex. janedoe@chinarenaissance.com), which is being used by 75.3% of China ..."
ACC536,Goldman Sachs (Asia) L.L.C.,gs.com,{first}.{last},"The most common Goldman Sachs email format is [first].[last] (ex. jane.doe@gs.com), which is being used by 97.9% of Goldman Sachs work email addresses."
ACE409,China Everbright Capital Limited,ebshk.com,{first}.{last},"The most common Everbright Sun Hung Kai Company Limited email format is [first].[last] (ex. jane.doe@ebshk.com), which is being used by 68.1% of Everbright ..."
ACI029,"Capital International, Inc.",capgroup.com,{first}.{last},"Email Format, Example, Percentage. [first].[last], jane.doe@thecapitalgroup ... 3. thecapitalgroup.com; gmail.com; capgroup.com. 2. +1 310-799-XXXX; +1 415-728 ..."
ACN418,Cinda International Futures Limited,cinda.com.hk,{first}.{last},"The most common Cinda International Capital Limited email format is [first].[last] (ex. jane.doe@cinda.com.hk), which is being used by 96.8% of Cinda ..."
ACN469,NH Investment & Securities (H.K.) Limited,lexology.com,{first}{last},"The most common Lexology email format is [first][last] (ex. janedoe@lexology.com), which is being used by 50.0% of Lexology work email addresses."
ACQ651,CMB International Futures Limited,cmbi.com.hk,{first}{last},CMB International's email format typically follows the pattern of FirstLast@cmbi.com.hk; this email format is used 63% of the time. Other contacts within ...
ACS909,Lei Shing Hong Securities Limited,lsh.com,{first}.{last},"The most common Lei Shing Hong Limited email format is [first].[last] (ex. jane.doe@lsh.com), which is being used by 82.1% of Lei Shing Hong Limited work ..."
ACX287,HSBC Corporate Finance (Hong Kong) Limited,hsbc.com,{first}.{last},"The most common HSBC email format is [first].[last] (ex. jane.doe@hsbc.com), which is being used by 56.0% of HSBC work email addresses."
ADT913,Kingsway SW Asset Management Limited,sunwahkingsway.com,{first}.{last},"The most common Sunwah Kingsway email format is [first].[last] (ex. jane.doe@sunwahkingsway.com), which is being used by 89.4% of Sunwah Kingsway work email ..."
ADW536,KB Securities Hong Kong Limited,en.kbsec.com,{f}{last},"The most common Maritime Securities Incorporation (Msi) email format is [first_initial][last] (ex. jdoe@kbsec.com.vn), which is being used by 100.0% of ..."
AED807,Korea Investment & Securities Asia Limited,koreaholdings.com,{first}.{last},"The most common Korea Investment Holdings Co., Ltd. email format is [first].[last] (ex. jane.doe@koreaholdings.com), which is being used by 40.0% of Korea ..."
AEL202,Cinda International Securities Limited,cinda.com.hk,{first}.{last},"The most common Cinda International Capital Limited email format is [first].[last] (ex. jane.doe@cinda.com.hk), which is being used by 96.8% of Cinda ..."
AEN894,China International Capital Corporation Hong Kong Securities Limited,cicc.com.cn,{first}.{last},"The most common CICC email format is [first].[last] (ex. jane.doe@cicc.com.cn), which is being used by 55.1% of CICC work email addresses."
AEP527,Phillip Capital Management (HK) Limited,poems.com.hk,{first}{last},"The most common Phillip Securities Group email format is [first][last] (ex. janedoe@poems.com.hk), which is being used by 100.0% of Phillip Securities Group ..."
AEQ982,CNCB (Hong Kong) Capital Limited,cncbinvestment.com,{first}.{last},"CNCB (Hong Kong) Investment Limited uses 4 email formats. The most common is {first name}.{last name} (e.g., john.doe@cncbinvestment.com), used ..."
AEZ953,Mizuho Securities Asia Limited,mizuhogroup.com,{first}.{last},"The most common Mizuho Bank email format is [first].[last] (ex. jane.doe@mizuhogroup.com), which is being used by 99.1% of Mizuho Bank work email addresses."
AFA235,Principal Asset Management Company (Asia) Limited,principal.com.hk,{first}{last},"The most common Principal Hong Kong email format is [first][last] (ex. janedoe@principal.com.hk), which is being used by 33.4% of Principal Hong Kong work email ..."
AFD202,CVC Asia Pacific Limited,cvc.com,{f}{last},"The most common CVC Capital Partners email format is [first_initial][last] (ex. jdoe@cvc.com), which is being used by 89.5% of CVC Capital Partners work email ..."
AFF275,BlackRock Asset Management North Asia Limited,blackrock.com,{first}.{last},"The most common BlackRock email format is [first].[last] (ex. jane.doe@blackrock.com), which is being used by 74.4% of BlackRock work email addresses."
AFN285,MEAG Hong Kong Limited,meag.com,{f}{last},"The most common MEAG email format is [first_initial][last] (ex. jdoe@meag.com), which is being used by 93.5% of MEAG work email addresses."
AFQ881,JVSakk Asia Limited,jvsakk.com,{first}.{last},"The most common JVSakk Asset Management Limited email format is [first].[last] (ex. jane.doe@jvsakk.com), which is being used by 94.4% of JVSakk Asset ..."
AFT069,Templewater Hong Kong Limited,templewater.com,{first}.{last},"Templewater uses 3 email formats. The most common is {first name}.{last name} (e.g., john.doe@templewater.com), used 61.9% of the time. Format, Example ..."
AGO928,"China Merchants Futures (HK) Co., Limited",cmschina.com.hk,{first}{last},"The most common China Merchants Securities (HK) Co., Limited email format is [first][last] (ex. janedoe@cmschina.com.hk), which is being used by 100.0% of ..."
AJL465,"CMS Capital (HK) Co., Limited",cmschina.com.hk,{first}{last},"The most common China Merchants Securities (HK) Co., Limited email format is [first][last] (ex. janedoe@cmschina.com.hk), which is being used by 100.0% of ..."
ARB153,JVSakk Asset Management Limited,jvsakk.com,{first}.{last},"The most common JVSakk Asset Management Limited email format is [first].[last] (ex. jane.doe@jvsakk.com), which is being used by 94.4% of JVSakk Asset ..."
ARS756,"CMS Asset Management (HK) Co., Limited",cmschina.com.hk,{first}{last},"The most common China Merchants Securities (HK) Co., Limited email format is [first][last] (ex. janedoe@cmschina.com.hk), which is being used by 100.0% of ..."
AVA101,CMB International Asset Management Limited,cmbi.com.hk,{first}{last},CMB International's email format typically follows the pattern of FirstLast@cmbi.com.hk; this email format is used 63% of the time. Other contacts within ...
BGQ200,CR Wealth and Asset Management Limited,chinarenaissance.com,{first}{last},"The most common China Renaissance 华兴资本email format is [first][last] (ex. janedoe@chinarenaissance.com), which is being used by 75.3% of China ..."
BNC457,EX ASSET MANAGEMENT LIMITED,hsbc.com,{first}.{last},"The most common HSBC email format is [first].[last] (ex. jane.doe@hsbc.com), which is being used by 56.0% of HSBC work email addresses."
BPX707,Fosun International Asset Management Limited,fosunwealth.com,{first}.{last},"The most common Fosun Wealth email format is [first].[last] (ex. jane.doe@fosunwealth.com), which is being used by 100.0% of Fosun Wealth work email ..."
